store_chain,freq_regular,freq_effective,avg_change_regular,avg_change_effective,promo_share,avg_spell_length,volatility_effective,n_categories,n_products
Magnit,0.20623765865074564,0.20623765865074564,0.1784313840347899,0.1784313840347899,0,4.869462598647687,0.10549500888316402,8,4368
Pyaterochka,0.2684415850333538,0.32153826258446216,0.09374192917283149,0.1275683425449027,0.13368465293718276,4.007457459075577,0.10119932290427631,7,7285
